name,group,protein (g),calcium (g),sodium (g),fiber (g),vitaminc (g),potassium (g),carbohydrate (g),sugars (g),fat (g),water (g),calories,saturated (g),monounsat (g),polyunsat (g),id
"Cereals ready-to-eat, GENERAL MILLS, LUCKY CHARMS",Breakfast Cereals,7.02,0.399,0.721,4.7,0.0233,0.182,82.9,39.93,3.63,3.17,407,0.602,1.195,1.183,29486
"Cereals ready-to-eat, GENERAL MILLS, Multi-Bran CHEX",Breakfast Cereals,6.9,0.213,0.564,12.1,0.0128,0.379,84.06,20.69,2.59,2.5,328,0.481,0.589,0.86,29487
"Cereals ready-to-eat, GENERAL MILLS, Multi-Grain Cheerios",Breakfast Cereals,6.9,0.345,0.555,9.3,0.0517,0.292,83.34,20.69,3.45,2.5,379,0.531,1.011,1.38,29488
"Cereals ready-to-eat, GENERAL MILLS, NATURE VALLEY LOW FAT FRUIT GRANOLA",Breakfast Cereals,8,0.036,0.376,5,0,0.279,80,33.41,4.6,6.72,386,0.85,2.115,1.142,29489
"Cereals ready-to-eat, GENERAL MILLS, OATMEAL CRISP with Almonds",Breakfast Cereals,9.09,0.036,0.207,7.5,0.0109,0.327,77.25,29.09,8.18,2.86,400,0.91,3.64,2.73,29490
"Cereals ready-to-eat, GENERAL MILLS, OATMEAL CRISP, APPLE CINNAMON",Breakfast Cereals,7.27,0.036,0.491,7.3,0.0109,0.309,84,34.55,3.64,2.59,382,0.91,1.82,0.91,29491
"Cereals ready-to-eat, GENERAL MILLS, Oatmeal Crisp, Raisin",Breakfast Cereals,8.5,0.032,0.196,7.5,0,0.346,83.1,31.9,3.9,2.5,382,0.8,1.1,1.3,29492
"Cereals ready-to-eat, GENERAL MILLS, RAISIN NUT BRAN",Breakfast Cereals,7.27,0.036,0.461,9.8,0,0.35,76.36,27.27,6.36,7.54,364,0.91,2.73,0.91,29493
"Cereals ready-to-eat, GENERAL MILLS, REESE'S PUFFS",Breakfast Cereals,6.67,0.333,0.662,4,0.02,0.217,75.86,40,11.67,2.67,433,1.67,5,3.33,29494
"Cereals ready-to-eat, GENERAL MILLS, Rice CHEX",Breakfast Cereals,6.45,0.37,0.91,1,0.0222,0.167,85.42,7.41,1.61,2.5,382,0.348,0.552,0.525,29495
"Cereals ready-to-eat, GENERAL MILLS, TOTAL Corn Flakes",Breakfast Cereals,6.05,3.333,0.698,2.5,0.2,0.094,85.55,11,1.61,2.56,373,0.4,0.214,0.368,29496
"Cereals ready-to-eat, GENERAL MILLS, TOTAL Raisin Bran",Breakfast Cereals,5.45,1.818,0.438,9.1,0,0.564,76.36,34.55,1.82,8.75,309,0.297,0.262,0.914,29497
"Cereals ready-to-eat, GENERAL MILLS, TOTAL, Blueberry Pomegranate",Breakfast Cereals,9.3,2.041,0.195,8,0.1224,0.287,76.8,21.9,3.7,2.9,353,0.8,1.1,1.3,29498
"Cereals ready-to-eat, GENERAL MILLS, TOTAL, Cranberry Crunch",Breakfast Cereals,6.2,1.724,0.334,7.3,0,0.24,78.8,27.9,2,4,335,0.5,0.4,1,29499
"Cereals ready-to-eat, GENERAL MILLS, TRIX",Breakfast Cereals,4.7,0.313,0.588,4.3,0.02,0.163,85.9,34.4,4.1,2,384,0.67,1.8,1.596,29500
"Cereals ready-to-eat, GENERAL MILLS, TRIX, reduced sugar, bowlpak",Breakfast Cereals,4.76,0.381,0.571,4.8,0.0171,0.143,85.49,28.57,4.76,2,400,0.67,2.334,1.596,29501
"Cereals ready-to-eat, GENERAL MILLS, WHEATIES",Breakfast Cereals,9.4,0.067,0.737,11.7,0.02,0.35,82.6,13.33,1.8,2.59,347,0.5,0.3,1,29502
"Cereals ready-to-eat, GENERAL MILLS, WHEATIES Raisin Bran",Breakfast Cereals,7,0,0.457,9,0,0.413,81,33,1.7,7,333,0.4,0.169,0.644,29503
"Cereals ready-to-eat, GENERAL MILLS, WHEATIES, Fuel",Breakfast Cereals,6,0.182,0.276,9.7,0.0273,0.215,82.8,24.9,5.8,3,375,0.8,3.1,1.3,29504
"Cereals ready-to-eat, GENERAL MILLS, Wheat CHEX",Breakfast Cereals,10,0.2,0.635,10.8,0.012,0.368,81.09,10,2,2.5,360,0.328,0.248,0.832,29505
"Cereals ready-to-eat, GENERAL MILLS, Whole Grain TOTAL",Breakfast Cereals,8.4,3.333,0.655,9.1,0.2,0.306,74.5,16.2,2.1,2.67,319,0.6,0.3,0.8,29506
"Cereals ready-to-eat, HEALTH VALLEY, FIBER 7 Flakes",Breakfast Cereals,14.44,0.071,0.053,14.1,0.0042,0.46,78.15,1.86,1.41,3,353,0.261,0.244,0.61,29507
"Cereals ready-to-eat, JUST RIGHT with Crunchy Nuggets",Breakfast Cereals,7.7,0.026,0.614,5.1,0,0.22,83.7,21.2,2.7,3.2,371,0.2,0.5,1.9,29508
"Cereals ready-to-eat, KASHI 7 Whole Grain Flakes",Breakfast Cereals,11,0.03,0.303,11.3,0,0.319,81.8,8.6,1.95,3.4,350,0.4,0.4,1.2,29509
"Cereals ready-to-eat, KASHI 7 Whole Grain Honey Puffs",Breakfast Cereals,10,0.029,0.01,6.7,0,0.264,82.5,23,3.3,3,381,0.359,0.558,0.866,29510
"Cereals ready-to-eat, KASHI 7 Whole Grain Nuggets",Breakfast Cereals,11.8,0.041,0.448,11.7,0,0,81,5,2.8,3,356,0.6,0.6,1.6,29511
"Cereals ready-to-eat, KASHI GO LEAN CRUNCH!, Honey Almond Flax",Breakfast Cereals,16.6,0.101,0.261,16.2,0,0.486,67,23,8.3,3.5,381,0.7,4.1,3.5,29512
"Cereals ready-to-eat, KASHI GOLEAN",Breakfast Cereals,26.1,0.14,0.165,19.6,0,0.926,58,12,2,2.2,284,0.4,0.4,1.1,29513
"Cereals ready-to-eat, KASHI GOLEAN CRUNCH!",Breakfast Cereals,17.5,0.087,0.19,15.2,0,0.566,67.9,24.6,5.8,4,377,0.47,3.23,2.1,29514
"Cereals ready-to-eat, KASHI GRANOLA, COCOA BEACH Cereal",Breakfast Cereals,11,0.051,0.25,12.7,0,0.272,61,19.8,16.7,4,410,3.2,8.1,5.4,29515
"Cereals ready-to-eat, KASHI GRANOLA, Mountain Medley Cereal",Breakfast Cereals,11,0.032,0.22,11.5,0,0.255,66.5,22,13,3,397,2.1,7.2,3.7,29516
"Cereals ready-to-eat, KASHI GRANOLA, ORCHARD SPICE CEREAL",Breakfast Cereals,11,0.04,0.24,11.4,0,0.279,67,20,13.4,3,403,1.7,6.99,4.7,29517
"Cereals ready-to-eat, KASHI GRANOLA, Summer Berry Cereal",Breakfast Cereals,12,0.038,0.24,12.4,0,0.235,66.6,17,11.6,4,390,1.6,5.5,4.5,29518
"Cereals ready-to-eat, KASHI Good Friends",Breakfast Cereals,9.4,0.034,0.2,22.2,0,0.495,81.8,17,3.6,2,316,0.4,1,1.7,29519
"Cereals ready-to-eat, KASHI HEART TO HEART, Honey Toasted Oat",Breakfast Cereals,12,0.042,0.25,13.4,0.091,0.29,76.4,17.7,5,2.8,357,1,1.1,1.2,29520
"Cereals ready-to-eat, KASHI Heart to Heart Warm Cinnamon",Breakfast Cereals,12.9,0.047,0.242,14.2,0.089,0.296,75.8,14.3,5,2.8,355,1,1.1,1.2,29521
"Cereals ready-to-eat, KASHI MIGHTY BITES, Honey Crunch Cereal",Breakfast Cereals,17,0.455,0.482,9,0.046,0.33,69,17,4,2.8,353,0.8,1.6,1.6,29522
"Cereals ready-to-eat, KASHI ORGANIC PROMISE CINNAMON HARVEST",Breakfast Cereals,8.3,0,0.01,10.3,0,0.313,81,16.5,2,5.9,340,0.4,0.4,1.2,29523
"Cereals ready-to-eat, KASHI ORGANIC PROMISE Island Vanilla Biscuit",Breakfast Cereals,10.7,0,0.01,10.7,0,0.31,80.8,16.9,2,2.5,350,,0.3,1.1,29524
"Cereals ready-to-eat, KASHI ORGANIC PROMISE STRAWBERRY FIELDS",Breakfast Cereals,7.8,0.016,0.625,3.5,0.0225,0.122,87.1,29.3,0.43,2.4,369,,,,29525
"Cereals ready-to-eat, KASHI, CINNA-RAISIN CRUNCH",Breakfast Cereals,7.9,0.032,0.208,15.1,0,0.442,82,25,2.8,5,330,0.4,1,1.4,29526
"Cereals ready-to-eat, KASHI, HEART TO HEART, Wild Blueberry",Breakfast Cereals,10.9,0.045,0.241,7,0.0545,0.211,76,22,4.7,3,370,0.9,1.2,2.6,29527
"Cereals ready-to-eat, KASHI, Kashi U",Breakfast Cereals,10,0.364,0.23,12,0.055,0.22,76,18,7,3,367,0.5,2.2,3.7,29528
"Cereals ready-to-eat, KASHI, ORGANIC PROMISE Autumn Wheat",Breakfast Cereals,9.7,0,0,11.2,0,0.334,83,13.4,2.1,3.9,353,0.202,0.154,0.482,29529
"Cereals ready-to-eat, KELLOGG'S FROSTED MINI-WHEATS, original",Breakfast Cereals,9,0.033,0.01,10,0,0.352,82,21,1.6,6,343,0.36,0.24,1,29530
"Cereals ready-to-eat, KELLOGG'S SPECIAL K Chocolatey Delight",Breakfast Cereals,7,0.018,0.579,7,0.068,0.268,81,30,7,3,393,6,0.2,0.6,29531
"Cereals ready-to-eat, KELLOGG'S, FROSTED MINI-WHEATS, Maple & Brown Sugar, Bite Size",Breakfast Cereals,8,0.033,0.001,9.6,0,0.338,82,24,1.5,6,356,0.3,0.2,1,29532
"Cereals ready-to-eat, KELLOGG'S, FRUIT HARVEST Strawberry/Blueberry",Breakfast Cereals,6,0.026,0.472,4.6,0.004,0.284,87,34,1.2,3,368,0.3,0.3,0.6,29533
"Cereals ready-to-eat, KELLOGG'S, Reduced Sugar FROOT LOOPS",Breakfast Cereals,6.3,0.017,0.56,10.3,0.047,0.07,83.8,30.9,4,2.5,394,1.5,0.4,0.5,29534
"Cereals ready-to-eat, KELLOGG'S, Reduced Sugar Frosted Flakes Cereal",Breakfast Cereals,5.3,0.006,0.57,1.1,0.023,0.083,90.2,27,0.17,3,377,0.05,0.03,0.09,29535
"Cereals ready-to-eat, KELLOGG'S, SPECIAL K Low Carb Lifestyle Protein Plus",Breakfast Cereals,33.7,0.135,0.38,17,0.072,1.111,47.8,6.7,9.7,3,349,2,2.3,5.4,29536
"Cereals ready-to-eat, KELLOGG'S, SPECIAL K Vanilla Almond",Breakfast Cereals,7,0.038,0.568,5.6,0.07,0.232,83,28,4.9,2.3,384,0.6,2.8,1.5,29537
"Cereals ready-to-eat, KELLOGG's MINI-WHEATS Frosted Strawberry Delight Cereal",Breakfast Cereals,8.3,0.031,0,9.6,0,0.33,83,23.5,1.7,6,347,0.3,0.3,1.1,29538
"Cereals ready-to-eat, KELLOGG, All-Bran Strawberry Medley",Breakfast Cereals,10,0.018,0.42,18,0.011,0.64,80,19,3,4.6,318,0.5,0.4,2,29539
"Cereals ready-to-eat, KELLOGG, Berry RICE KRISPIES",Breakfast Cereals,5.5,0.008,0.726,0.3,0.02,0.101,88,31,1,2.9,382,0.3,0.3,0.4,29540
"Cereals ready-to-eat, KELLOGG, EGGO Crunch Cereal, maple flavored",Breakfast Cereals,6.6,0.167,0.472,5.9,0.0455,0.212,83,40,4.4,2.5,376,1.5,1.6,1.3,29541
"Cereals ready-to-eat, KELLOGG, Frosted MINI-WHEATS bite size STRAWBERRY DELIGHT",Breakfast Cereals,8.3,0.031,0,9.6,0,0,83,23.5,1.7,6,347,0.3,0.3,1.1,29542
"Cereals ready-to-eat, KELLOGG, KELLOGG'S ALL-BRAN BRAN BUDS",Breakfast Cereals,7,0.063,0.68,43,0.02,1,80,27,2.15,3,250,0.4,0.5,1.3,29543
"Cereals ready-to-eat, KELLOGG, KELLOGG'S ALL-BRAN Original",Breakfast Cereals,13.14,0.389,0.26,29.3,0.02,1.02,74.24,15.69,4.9,2.12,260,0.63,0.67,2.11,29544
"Cereals ready-to-eat, KELLOGG, KELLOGG'S ALL-BRAN WITH EXTRA FIBER",Breakfast Cereals,11.3,0.415,0.475,50,0.025,1.05,77,0.37,3.5,3,192,0.6,0.7,2.2,29545
"Cereals ready-to-eat, KELLOGG, KELLOGG'S ALL-BRAN Yogurt Bites",Breakfast Cereals,11,0.064,0.42,18,0.011,0.521,78.8,13,5.24,2.32,342,3,0.6,1.4,29546
"Cereals ready-to-eat, KELLOGG, KELLOGG'S APPLE JACKS",Breakfast Cereals,5,0.011,0.443,9.3,0.0594,0.12,88.2,44,2,2.98,366,0.375,0.531,0.734,29547
"Cereals ready-to-eat, KELLOGG, KELLOGG'S COCOA KRISPIES",Breakfast Cereals,5.22,0.13,0.424,1.9,0.0484,0.189,86.05,33.96,2.9,2.81,381,1.99,0.4,0.23,29548
"Cereals ready-to-eat, KELLOGG, KELLOGG'S COMPLETE Wheat Flakes",Breakfast Cereals,10,0.052,0.72,17.5,0.207,0.59,79,17,2,3,318,0.4,0.5,1.1,29549
"Cereals ready-to-eat, KELLOGG, KELLOGG'S CORN POPS",Breakfast Cereals,4.6,0.011,0.387,9,0.019,0.148,90.4,32.1,1.3,2.5,389,0.18,0.2,0.5,29550
"Cereals ready-to-eat, KELLOGG, KELLOGG'S CRACKLIN' OAT BRAN",Breakfast Cereals,8,0.06,0.309,12.7,0.031,0.45,71.8,32,13.9,3,402,6.1,4.7,3,29551
"Cereals ready-to-eat, KELLOGG, KELLOGG'S CRISPIX",Breakfast Cereals,6.7,0.01,0.751,1.1,0.021,0.135,85.7,12.1,1,3.35,377,0.225,0.225,0.45,29552
"Cereals ready-to-eat, KELLOGG, KELLOGG'S Cinnamon MINI SWIRLZ",Breakfast Cereals,5.7,0.024,0.386,3.4,0.05,0.151,83,11,6.9,1.8,406,1.1,2.6,1.9,29553
"Cereals ready-to-eat, KELLOGG, KELLOGG'S Complete Oat Bran Flakes",Breakfast Cereals,11,0.054,0.699,13,0.21,0.4,77,20,3.5,3,350,0.8,1.7,1,29554
"Cereals ready-to-eat, KELLOGG, KELLOGG'S Corn Flakes",Breakfast Cereals,6.61,0.004,0.723,2.5,0.022,0.079,87.11,10.5,0.59,3.76,361,0.172,0.099,0.289,29555
"Cereals ready-to-eat, KELLOGG, KELLOGG'S FROOT LOOPS",Breakfast Cereals,5.1,0.012,0.456,9.5,0.046,0.143,86.6,42.5,3.6,3,373,2,0.3,0.4,29556
"Cereals ready-to-eat, KELLOGG, KELLOGG'S FROSTED FLAKES",Breakfast Cereals,4.34,0.003,0.462,1.8,0.0267,0.075,90.86,38.72,0.26,3.27,367,0.069,0.04,0.102,29557
"Cereals ready-to-eat, KELLOGG, KELLOGG'S FROSTED MINI-WHEATS, bite size",Breakfast Cereals,10.1,0.032,0.01,10,0,0.345,81,20.1,1.6,6,344,0.36,0.24,1,29558
"Cereals ready-to-eat, KELLOGG, KELLOGG'S FROSTED RICE KRISPIES",Breakfast Cereals,5,0.007,0.371,0.3,0.05,0.059,89,39,0.9,2.9,384,0.3,0.3,0.3,29559
"Cereals ready-to-eat, KELLOGG, KELLOGG'S HONEY CRUNCH CORN FLAKES",Breakfast Cereals,6.8,0.022,0.7,3.4,0.02,0.102,87,33,1.9,3,385,0.3,1,0.6,29560
"Cereals ready-to-eat, KELLOGG, KELLOGG'S Honey SMACKS",Breakfast Cereals,6,0.024,0.19,3.7,0.0226,0.15,89,56,2,2.5,388,0.3,0.65,0.9,29561
"Cereals ready-to-eat, KELLOGG, KELLOGG'S JUST RIGHT Fruit & Nut",Breakfast Cereals,7,0.035,0.459,5.2,0,0.269,81.7,25,3.3,5.9,366,0.5,1.5,1.3,29562
"Cereals ready-to-eat, KELLOGG, KELLOGG'S Low Fat Granola with Raisins",Breakfast Cereals,9,0.032,0.24,7,0.002,0.2,79,28,5,3.5,377,1.4,2,1.6,29563
"Cereals ready-to-eat, KELLOGG, KELLOGG'S Low Fat Granola without Raisins",Breakfast Cereals,8,0.039,0.219,6.1,0.002,0.249,81.5,28,5.2,3.5,387,1.3,2.2,1.7,29564
"Cereals ready-to-eat, KELLOGG, KELLOGG'S MARSHMALLOW FROOT LOOPS",Breakfast Cereals,4.5,0.01,0.383,6.8,0.038,0.116,87.9,50.7,3,2.5,374,1.3,0.2,0.3,29565
"Cereals ready-to-eat, KELLOGG, KELLOGG'S MUESLIX",Breakfast Cereals,9.1,0.058,0.309,7.3,0.0004,0.436,73,31,5.5,8.7,357,0.8,2.9,1.8,29566
"Cereals ready-to-eat, KELLOGG, KELLOGG'S PRODUCT 19",Breakfast Cereals,7.7,0.016,0.69,3.3,0.204,0.167,83,13.3,1.4,3,333,0.3,0.4,0.7,29567
"Cereals ready-to-eat, KELLOGG, KELLOGG'S Puffed Wheat",Breakfast Cereals,15,0.04,0.003,15,0,0.475,77,,1.6,4,322,0.3,0.6,0.7,29568
"Cereals ready-to-eat, KELLOGG, KELLOGG'S RAISIN BRAN",Breakfast Cereals,8.59,0.047,0.425,11.1,0,0.567,77.36,29.9,2.19,8.77,322,0.353,0.291,0.73,29569
"Cereals ready-to-eat, KELLOGG, KELLOGG'S RICE KRISPIES",Breakfast Cereals,6.84,0.007,0.561,0.8,0.047,0.088,85.24,9.46,0.96,4.13,387,0.216,0.279,0.295,29570
"Cereals ready-to-eat, KELLOGG, KELLOGG'S RICE KRISPIES TREATS Cereal",Breakfast Cereals,4.8,0.01,0.55,0.2,0.02,0.077,84.7,31,4.6,3.5,399,0.9,1.6,0.6,29571
"Cereals ready-to-eat, KELLOGG, KELLOGG'S SMART START Strong Heart Antioxidants Cereal",Breakfast Cereals,7,0.024,0.55,5.4,0.03,0.18,86,28,1.41,3,365,0.27,0.17,0.97,29572
"Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECIAL K",Breakfast Cereals,18,0.025,0.658,8.5,0.0677,0.066,74,12.9,2,3,379,0.35,0.4,0.8,29573
"Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECIAL K RED BERRIES",Breakfast Cereals,6,0.018,0.613,8,0.0677,0.223,86,30,1,3,359,0.24,0.2,0.6,29574
"Cereals ready-to-eat, KELLOGG, KELLOGG'S Shredded Wheat Miniatures",Breakfast Cereals,11,0.042,0,13,0,0.452,80,2,2.1,5,339,0.4,0.3,1.4,29575
"Cereals ready-to-eat, KELLOGG, KELLOGG'S Special K Blueberry",Breakfast Cereals,7,0.018,0.471,10,0.07,0.197,87,28,1.5,3,363,,0.1,0.5,29576
"Cereals ready-to-eat, KELLOGG, KELLOGG'S Special K low fat granola",Breakfast Cereals,13.1,0.04,0.24,11.7,0,0.23,75.1,17.5,6,3,380,1,1.7,1.8,29577
"Cereals ready-to-eat, KELLOGG, KELLOGG'S Special K, Cinnamon Pecan",Breakfast Cereals,8,0.03,0.649,8,0.07,0.264,81,24,6,3,384,1,0.1,0.6,29578
"Cereals ready-to-eat, KELLOGG, KELLOGG'S, RAISIN BRAN CRUNCH",Breakfast Cereals,6.1,0.035,0.39,7.6,0.0013,0.401,84.9,37.7,1.9,5.3,354,0.38,0.7,0.8,29579
"Cereals ready-to-eat, KELLOGG, SMART START Strong Heart, Maple Brown Sugar",Breakfast Cereals,10,0.036,0.23,8.5,0.025,0.633,79,28,3.7,3.5,367,0.7,1.1,1.9,29580
"Cereals ready-to-eat, KELLOGG, SMORZ",Breakfast Cereals,4.9,0.022,0.46,2.5,0.05,0.097,83,43,6.9,2.7,406,1.8,1,3.9,29581
