name,protein (g),calcium (g),sodium (g),fiber (g),vitaminc (g),potassium (g),carbohydrate (g),sugars (g),fat (g),water (g),calories,saturated (g),monounsat (g),polyunsat (g),id
"KELLOGG'S FROSTED MINI-WHEATS, original",9,0.033,0.01,10,0,0.352,82,21,1.6,6,343,0.36,0.24,1,29530
KELLOGG'S SPECIAL K Chocolatey Delight,7,0.018,0.579,7,0.068,0.268,81,30,7,3,393,6,0.2,0.6,29531
"KELLOGG'S, FROSTED MINI-WHEATS, Maple & Brown Sugar, Bite Size",8,0.033,0.001,9.6,0,0.338,82,24,1.5,6,356,0.3,0.2,1,29532
"KELLOGG'S, FRUIT HARVEST Strawberry/Blueberry",6,0.026,0.472,4.6,0.004,0.284,87,34,1.2,3,368,0.3,0.3,0.6,29533
"KELLOGG'S, Reduced Sugar FROOT LOOPS",6.3,0.017,0.56,10.3,0.047,0.07,83.8,30.9,4,2.5,394,1.5,0.4,0.5,29534
"KELLOGG'S, Reduced Sugar Frosted Flakes Cereal",5.3,0.006,0.57,1.1,0.023,0.083,90.2,27,0.17,3,377,0.05,0.03,0.09,29535
"KELLOGG'S, SPECIAL K Low Carb Lifestyle Protein Plus",33.7,0.135,0.38,17,0.072,1.111,47.8,6.7,9.7,3,349,2,2.3,5.4,29536
"KELLOGG'S, SPECIAL K Vanilla Almond",7,0.038,0.568,5.6,0.07,0.232,83,28,4.9,2.3,384,0.6,2.8,1.5,29537
KELLOGG's MINI-WHEATS Frosted Strawberry Delight Cereal,8.3,0.031,0,9.6,0,0.33,83,23.5,1.7,6,347,0.3,0.3,1.1,29538
"KELLOGG, All-Bran Strawberry Medley",10,0.018,0.42,18,0.011,0.64,80,19,3,4.6,318,0.5,0.4,2,29539
"KELLOGG, Berry RICE KRISPIES",5.5,0.008,0.726,0.3,0.02,0.101,88,31,1,2.9,382,0.3,0.3,0.4,29540
"KELLOGG, EGGO Crunch Cereal, maple flavored",6.6,0.167,0.472,5.9,0.0455,0.212,83,40,4.4,2.5,376,1.5,1.6,1.3,29541
"KELLOGG, Frosted MINI-WHEATS bite size STRAWBERRY DELIGHT",8.3,0.031,0,9.6,0,0,83,23.5,1.7,6,347,0.3,0.3,1.1,29542
KELLOGG'S ALL-BRAN BRAN BUDS,7,0.063,0.68,43,0.02,1,80,27,2.15,3,250,0.4,0.5,1.3,29543
KELLOGG'S ALL-BRAN Original,13.14,0.389,0.26,29.3,0.02,1.02,74.24,15.69,4.9,2.12,260,0.63,0.67,2.11,29544
KELLOGG'S ALL-BRAN WITH EXTRA FIBER,11.3,0.415,0.475,50,0.025,1.05,77,0.37,3.5,3,192,0.6,0.7,2.2,29545
KELLOGG'S ALL-BRAN Yogurt Bites,11,0.064,0.42,18,0.011,0.521,78.8,13,5.24,2.32,342,3,0.6,1.4,29546
KELLOGG'S APPLE JACKS,5,0.011,0.443,9.3,0.0594,0.12,88.2,44,2,2.98,366,0.375,0.531,0.734,29547
KELLOGG'S COCOA KRISPIES,5.22,0.13,0.424,1.9,0.0484,0.189,86.05,33.96,2.9,2.81,381,1.99,0.4,0.23,29548
KELLOGG'S COMPLETE Wheat Flakes,10,0.052,0.72,17.5,0.207,0.59,79,17,2,3,318,0.4,0.5,1.1,29549
KELLOGG'S CORN POPS,4.6,0.011,0.387,9,0.019,0.148,90.4,32.1,1.3,2.5,389,0.18,0.2,0.5,29550
KELLOGG'S CRACKLIN' OAT BRAN,8,0.06,0.309,12.7,0.031,0.45,71.8,32,13.9,3,402,6.1,4.7,3,29551
KELLOGG'S CRISPIX,6.7,0.01,0.751,1.1,0.021,0.135,85.7,12.1,1,3.35,377,0.225,0.225,0.45,29552
KELLOGG'S Cinnamon MINI SWIRLZ,5.7,0.024,0.386,3.4,0.05,0.151,83,11,6.9,1.8,406,1.1,2.6,1.9,29553
KELLOGG'S Complete Oat Bran Flakes,11,0.054,0.699,13,0.21,0.4,77,20,3.5,3,350,0.8,1.7,1,29554
KELLOGG'S Corn Flakes,6.61,0.004,0.723,2.5,0.022,0.079,87.11,10.5,0.59,3.76,361,0.172,0.099,0.289,29555
KELLOGG'S FROOT LOOPS,5.1,0.012,0.456,9.5,0.046,0.143,86.6,42.5,3.6,3,373,2,0.3,0.4,29556
KELLOGG'S FROSTED FLAKES,4.34,0.003,0.462,1.8,0.0267,0.075,90.86,38.72,0.26,3.27,367,0.069,0.04,0.102,29557
"KELLOGG'S FROSTED MINI-WHEATS, bite size",10.1,0.032,0.01,10,0,0.345,81,20.1,1.6,6,344,0.36,0.24,1,29558
KELLOGG'S FROSTED RICE KRISPIES,5,0.007,0.371,0.3,0.05,0.059,89,39,0.9,2.9,384,0.3,0.3,0.3,29559
KELLOGG'S HONEY CRUNCH CORN FLAKES,6.8,0.022,0.7,3.4,0.02,0.102,87,33,1.9,3,385,0.3,1,0.6,29560
KELLOGG'S Honey SMACKS,6,0.024,0.19,3.7,0.0226,0.15,89,56,2,2.5,388,0.3,0.65,0.9,29561
KELLOGG'S JUST RIGHT Fruit & Nut,7,0.035,0.459,5.2,0,0.269,81.7,25,3.3,5.9,366,0.5,1.5,1.3,29562
KELLOGG'S Low Fat Granola with Raisins,9,0.032,0.24,7,0.002,0.2,79,28,5,3.5,377,1.4,2,1.6,29563
KELLOGG'S Low Fat Granola without Raisins,8,0.039,0.219,6.1,0.002,0.249,81.5,28,5.2,3.5,387,1.3,2.2,1.7,29564
KELLOGG'S MARSHMALLOW FROOT LOOPS,4.5,0.01,0.383,6.8,0.038,0.116,87.9,50.7,3,2.5,374,1.3,0.2,0.3,29565
KELLOGG'S MUESLIX,9.1,0.058,0.309,7.3,0.0004,0.436,73,31,5.5,8.7,357,0.8,2.9,1.8,29566
KELLOGG'S PRODUCT 19,7.7,0.016,0.69,3.3,0.204,0.167,83,13.3,1.4,3,333,0.3,0.4,0.7,29567
KELLOGG'S Puffed Wheat,15,0.04,0.003,15,0,0.475,77,,1.6,4,322,0.3,0.6,0.7,29568
KELLOGG'S RAISIN BRAN,8.59,0.047,0.425,11.1,0,0.567,77.36,29.9,2.19,8.77,322,0.353,0.291,0.73,29569
KELLOGG'S RICE KRISPIES,6.84,0.007,0.561,0.8,0.047,0.088,85.24,9.46,0.96,4.13,387,0.216,0.279,0.295,29570
KELLOGG'S RICE KRISPIES TREATS Cereal,4.8,0.01,0.55,0.2,0.02,0.077,84.7,31,4.6,3.5,399,0.9,1.6,0.6,29571
KELLOGG'S SMART START Strong Heart Antioxidants Cereal,7,0.024,0.55,5.4,0.03,0.18,86,28,1.41,3,365,0.27,0.17,0.97,29572
KELLOGG'S SPECIAL K,18,0.025,0.658,8.5,0.0677,0.066,74,12.9,2,3,379,0.35,0.4,0.8,29573
KELLOGG'S SPECIAL K RED BERRIES,6,0.018,0.613,8,0.0677,0.223,86,30,1,3,359,0.24,0.2,0.6,29574
KELLOGG'S Shredded Wheat Miniatures,11,0.042,0,13,0,0.452,80,2,2.1,5,339,0.4,0.3,1.4,29575
KELLOGG'S Special K Blueberry,7,0.018,0.471,10,0.07,0.197,87,28,1.5,3,363,,0.1,0.5,29576
KELLOGG'S Special K low fat granola,13.1,0.04,0.24,11.7,0,0.23,75.1,17.5,6,3,380,1,1.7,1.8,29577
"KELLOGG'S Special K, Cinnamon Pecan",8,0.03,0.649,8,0.07,0.264,81,24,6,3,384,1,0.1,0.6,29578
"KELLOGG'S, RAISIN BRAN CRUNCH",6.1,0.035,0.39,7.6,0.0013,0.401,84.9,37.7,1.9,5.3,354,0.38,0.7,0.8,29579
"KELLOGG, SMART START Strong Heart, Maple Brown Sugar",10,0.036,0.23,8.5,0.025,0.633,79,28,3.7,3.5,367,0.7,1.1,1.9,29580
"KELLOGG, SMORZ",4.9,0.022,0.46,2.5,0.05,0.097,83,43,6.9,2.7,406,1.8,1,3.9,29581
"KELLOGG, SPECIAL K, Fruit & Yogurt",7,0.027,0.456,4.7,0.066,0.184,85,33,2.9,3,373,1.5,0.2,1.2,29582
"KELLOGG, Smart Start Strong Heart, Original",10,0.035,0.234,8.9,0.025,0.632,79,28,3.8,3.5,366,0.7,1.1,2,29583
"MALT-O-MEAL, Apple ZINGS",5.4,0.429,0.455,2.8,0.0597,0.14,87.3,42.9,2.66,2.2,395,0.447,1.26,0.835,29584
"MALT-O-MEAL, BERRY COLOSSAL CRUNCH",4.89,0.014,0.733,3.3,0.0036,0.114,85.9,41.3,5.44,1.56,412,0.091,1.4,0.63,29585
"MALT-O-MEAL, Blueberry Muffin Tops Cereal",4.9,0.356,0.466,4.8,0.0354,0.158,80,35.4,11.5,1.1,443,1.84,4.49,4.63,29586
"MALT-O-MEAL, CINNAMON TOASTERS",5.8,0.388,0.461,4.7,0.021,0.15,79.1,34.8,10.1,2.4,431,1.67,3.91,4.07,29587
"MALT-O-MEAL, COCO-ROOS",3.7,0.406,0.45,1.8,0.0205,0.195,89.5,46.5,2.6,2,396,0.464,1.61,0.419,29588
"MALT-O-MEAL, COLOSSAL CRUNCH",4.2,0.006,0.766,0.7,0,0.089,86.6,40.65,5.48,1.25,415,0.88,1.43,0.46,29589
"MALT-O-MEAL, CORN BURSTS",4,0.005,0.871,1.8,0.0605,0.059,93.7,43.6,0.34,0.9,394,0.165,0.042,0.113,29590
"MALT-O-MEAL, Cocoa DYNO-BITES",4.1,0.008,0.517,1.2,0.001,0.179,89.4,45.2,3.06,1.5,402,2.43,0.256,0.211,29591
"MALT-O-MEAL, Crispy Rice",6.3,0.007,0.909,1,0.0621,0.124,86.4,9,1.13,3.4,381,0.465,0.251,0.358,29592
"MALT-O-MEAL, Frosted Flakes",5,0,0.573,1.9,0.0615,0.067,90.9,37.4,0.4,2.1,387,0.13,0.07,0.19,29593
"MALT-O-MEAL, Frosted Mini SPOONERS",9.4,0.027,0.018,10.5,0.001,0.34,82.9,17.9,2.08,4.4,388,0.393,0.367,1.23,29594
"MALT-O-MEAL, Fruity DYNO-BITES",3.9,0.003,0.63,1,0.001,0.076,90.1,42.6,3.15,1.2,404,0.64,2.12,0.258,29595
"MALT-O-MEAL, GOLDEN PUFFS",5.77,0.011,0.241,2.6,0.0276,0.154,89.72,51.34,0.89,2.76,397,0.161,0.22,0.349,29596
"MALT-O-MEAL, Honey BUZZERS",6.3,0.014,0.759,2.9,0.0019,0.12,87.6,37.4,2.14,1.88,395,0.65,0.55,0.65,29597
"MALT-O-MEAL, Honey Nut TOASTY O'S Cereal",9.63,0.397,0.7,5.6,0.0306,0.309,81.53,38.73,2.16,1.9,390,0.435,0.831,0.871,29598
"MALT-O-MEAL, MARSHMALLOW MATEYS",7.2,0.457,0.667,4.6,0.0297,0.197,83.3,42.8,3.6,1.7,394,0.719,1.42,1.3,29599
"MALT-O-MEAL, Maple & Brown Sugar Hot Wheat Cereal, dry",8,0.314,0.01,3.1,0.001,0.13,84.5,35.6,0.75,5.9,377,0.19,0.096,0.428,29600
"MALT-O-MEAL, Puffed Rice Cereal",7.8,0.005,0.005,1,0.001,0.103,90.2,0.8,0.97,0.6,401,0.297,0.255,0.377,29601
"MALT-O-MEAL, Puffed Wheat Cereal",15.6,0.025,0.01,7.3,0.001,0.412,78.8,1.1,2.03,2.1,396,0.442,0.353,1.15,29602
"MALT-O-MEAL, Raisin Bran Cereal",9,0.045,0.576,13.5,0.013,0.578,76.9,30.3,1.98,8.5,361,0.476,0.401,1.01,29603
"MALT-O-MEAL, TOASTY O'S",13.1,0.406,0.897,10.7,0.0205,0.317,74.6,3.9,5.92,2,404,1.23,2.16,2.27,29604
"MALT-O-MEAL, TOOTIE FRUITIES",5,0.407,0.464,2.5,0.0703,0.131,87.9,45.7,3.29,1.5,401,0.687,1.47,0.976,29605
"MUESLI, dried fruit and nuts",9.7,0,0.231,7.3,0,0.486,77.8,31,4.9,5.8,340,0.805,2.38,1.315,29606
Malt-O-Meal Honey Graham Squares,3.33,0.333,0.9,3.3,0.02,0.167,80.33,33.33,10,3.6,433,1.667,3.333,3.333,29607
Marshmallow ALPHA-BITS,5.9,0.014,0.711,1.7,0,0.1,86.7,43.5,3.3,1.5,398,0.6,1.015,1.209,29608
"NATURE'S PATH, OPTIMUM",14.55,0.455,0.418,18.2,0.0022,0.751,73.37,29.09,4.55,3.67,345,,0.962,3.11,29609
"NATURE'S PATH, OPTIMUM SLIM",16.36,0.455,0.527,20,0,0.956,69.09,18.18,4.55,4.07,327,,1.13,2.903,29610
"OAT BRAN FLAKES, HEALTH VALLEY",10.7,0.038,0.036,13,0.0004,0.321,78.6,19.47,1.4,3.4,353,0.251,0.431,0.529,29611
POST Banana Nut Crunch,8.5,0.036,0.39,6.8,0.0002,0.29,74,20.4,10.3,4.5,422,1.4,3.667,4.485,29612
POST Blueberry Morning,6.6,0.027,0.473,3.8,0,0.166,79.2,20.8,4.5,7.2,383,0.6,2.008,1.466,29613
POST Raisin Bran Cereal,9.33,0.054,0.424,12.1,0.008,0.613,76.84,28.06,2.5,8.13,317,0.39,0.46,1.05,29614
POST Selects Cranberry Almond Crunch,7.4,0.029,0.225,6,0.0263,0.228,79.06,25.89,5.55,6,386,,2.974,1.778,29615
POST TOASTIES corn flakes,6.7,0.003,0.714,4.5,0,0.117,86.7,6.5,0.1,3.5,360,,0.03,0.051,29616
"POST, 100% Bran Cereal",12.7,0.076,0.417,28.6,0,0.947,78.2,24.4,2.1,2.8,287,0.3,0.316,1.101,29617
"POST, ALPHA-BITS",8.5,0.03,0.571,4.1,0,0.194,83.5,39,4.1,1.3,405,0.8,1.175,1.487,29618
"POST, COCOA PEBBLES",3.5,0.012,0.633,1.6,0,0.146,87.9,44,4.2,2.9,398,3.7,0.131,0.128,29619
"POST, FRUITY PEBBLES",3.6,0.005,0.633,0.7,0,0.11,87.9,44,3.9,3,401,0.9,1.632,1.294,29620
"POST, GRAPE-NUTS Cereal",12.48,0.039,0.5,8.8,0,0.338,80.1,12.61,1.85,3,359,0.305,0.261,0.871,29621
"POST, GRAPE-NUTS Flakes",10,0.039,0.431,8.8,0,0.34,81.5,17.6,2.9,3.2,365,0.6,,,29622
"POST, GREAT GRAINS Crunchy Pecan Cereal",9.3,0.028,0.403,7,0.0002,0.321,71.4,15.3,11.8,5.8,408,1.4,,,29623
"POST, Golden Crisp",5.5,0.015,0.093,,0,0.125,90.9,53.9,1.4,2.9,398,0.2,0.45,0.553,29624
"POST, Great Grains, Raisin, Date & Pecan",8,0.031,0.296,7.4,0.0001,0.326,73.2,24.6,8.4,8.7,377,1.1,3.664,2.953,29625
